127.0.0.1 - - [04/Mar/2022:14:25:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:25:49 +0530] "GET /login_module/signup.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:25:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:26:09 +0530] "POST /login_module/SignUp HTTP/1.1" 500 21527
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:26:16 +0530] "GET /login_module/signup.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:26:41 +0530] "POST /login_module/SignUp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:26:54 +0530] "GET /login_module/login.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:05 +0530] "POST /login_module/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:06 +0530] "GET /login_module/admin_page.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:15 +0530] "GET /login_module/edit.jsp HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:19 +0530] "POST /login_module/edit_profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:19 +0530] "GET /login_module/LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:19 +0530] "GET /login_module/login.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:21 +0530] "POST /login_module/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:22 +0530] "GET /login_module/admin_page.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:29 +0530] "GET /login_module/add_content HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:29 +0530] "GET /login_module/index.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:32 +0530] "GET /login_module/LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:32 +0530] "GET /login_module/login.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:27:53 +0530] "GET /login_module/signup.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:26 +0530] "POST /login_module/SignUp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:32 +0530] "GET /login_module/login.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:39 +0530] "POST /login_module/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:39 +0530] "GET /login_module/index.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:42 +0530] "GET /login_module/LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:14:28:42 +0530] "GET /login_module/login.jsp HTTP/1.1" 200 2237
