127.0.0.1 - - [25/Mar/2022:22:05:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:05:24 +0530] "GET /jt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:05:25 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:05:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:05:50 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:05:50 +0530] "GET /jt/Login HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:06:44 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:06:44 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:07:13 +0530] "GET /jt/admin_page HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:07:21 +0530] "GET /jt/show_article HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:05 +0530] "GET /jt/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:05 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:30 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:30 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:39 +0530] "GET /jt/admin_page HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:08:47 +0530] "GET /jt/addBook HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:09:49 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:09:51 +0530] "GET /jt/show_magazine HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:09:55 +0530] "GET /jt/show_magazine HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:09:59 +0530] "GET /jt/show_article HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:10:17 +0530] "GET /jt/show_novel HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:10:39 +0530] "GET /jt/show_article HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [25/Mar/2022:22:10:46 +0530] "GET /jt/show_novel HTTP/1.1" 200 1351
